angDist,_RAJ2000,_DEJ2000,Source,Cluster,RAdeg,DEdeg,Gmag,plx,e_plx,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000143,69.2912881,12.1055089,3306443434245315200,Hyades,69.29168,12.10546,14.828,19.556,0.046,Simbad,69.29129,12.10551,69.2912881079362,12.1055089389661,0.002,0.001,90,3306443434245315200,69.29167920572,0.0519,12.10546293524,0.0305,19.5330,0.0688,88.816,0.150,-10.685,0.066,0,2.20794e+04,1.02835e+01,14.828397,3.11748e+03,1.15635e+01,16.616880,3.07436e+04,4.46610e+01,13.542532,3.074348,,,0,3658.98,0.5955,0.3515,,
0.000415,68.965705,12.2555636,3306634646189021440,Hyades,68.96611,12.25551,17.518,19.73,0.007,Simbad,68.9657,12.25556,68.9657050976227,12.2555635350638,0.005,0.002,90,3306634646189021440,68.96610843466,0.1198,12.25550602751,0.0704,19.7456,0.1606,91.543,0.321,-13.357,0.148,0,1.85423e+03,1.85809e+00,17.517954,1.35437e+02,8.40147e+00,20.022043,3.08922e+03,1.01327e+01,16.037298,3.984745,,,0,,,,,
0.000187,67.8169758,12.2001408,3306588707218380288,Hyades,67.81745,12.20008,14.404,22.056,0.013,Simbad,67.81698,12.20014,67.8169758271261,12.2001407552939,0.002,0.001,90,3306588707218380288,67.81744697444,0.0580,12.20008133255,0.0296,22.0371,0.0680,106.956,0.142,-13.802,0.081,0,3.26405e+04,1.17401e+01,14.403973,4.86890e+03,1.53265e+01,16.132812,4.45998e+04,5.19210e+01,13.138587,2.994226,,,0,3869.46,,,,
0.000176,69.5394236,12.5108311,3306483944376792832,Hyades,69.53989,12.51077,4.188,22.867,0.205,Simbad,69.53942,12.51083,69.5394235687195,12.5108310618623,0.010,0.008,90,3306483944376792832,69.53988625856,0.2758,12.51077298838,0.2048,22.6374,0.3453,104.912,0.670,-13.488,0.528,1,3.98083e+08,1.13460e+06,4.188431,2.60353e+08,2.87881e+05,4.312483,1.77275e+08,2.56578e+05,4.140300,0.172184,,,0,7941.33,0.5370,0.2563,2.97,31.673
0.000431,68.1891958,12.0666697,3306592418070112384,Hyades,68.18962,12.06661,13.764,20.521,0.02,Simbad,68.1892,12.06667,68.1891957515430,12.0666695900926,0.002,0.001,90,3306592418070112384,68.18962261758,0.0527,12.06660851155,0.0239,20.5500,0.0566,96.953,0.105,-14.186,0.070,0,5.88605e+04,4.47704e+01,13.763806,1.03955e+04,5.25089e+01,15.309274,7.62777e+04,1.62724e+02,12.555925,2.753348,,,0,4076.08,0.5520,0.3400,,
0.000261,65.4828247,23.4182808,148867315986268672,Hyades,65.48338,23.41806,12.458,23.085,0.017,Simbad,65.48282,23.41828,65.4828246364750,23.4182807569782,0.002,0.001,90,148867315986268672,65.48337803623,0.0427,23.41805653870,0.0213,23.0900,0.0398,117.944,0.105,-52.077,0.069,0,1.95914e+05,9.33323e+01,12.458201,4.42560e+04,1.19914e+02,13.736458,2.32249e+05,2.48476e+02,11.347035,2.389422,38.74,0.63,13,4035.01,0.5110,0.2923,,
0.000247,65.3201531,23.1979286,148792171240741120,Hyades,65.32064,23.19773,15.25,19.9,0.041,Simbad,65.32015,23.19793,65.3201530559512,23.1979286553175,0.002,0.002,90,148792171240741120,65.32063885802,0.0656,23.19773296483,0.0378,19.8997,0.0730,103.709,0.161,-45.451,0.116,0,1.49731e+04,8.51757e+00,15.250086,2.07490e+03,1.46536e+01,17.058895,2.09408e+04,3.67736e+01,13.959436,3.099459,,,0,3654.97,0.3200,0.1940,,
0.000236,64.544965,23.2846564,148946068508277888,Hyades,64.54541,23.28449,9.16,18.443,0.044,Simbad,64.54496,23.28466,64.5449649712608,23.2846564598538,0.002,0.001,90,148946068508277888,64.54540511024,0.0479,23.28448986586,0.0207,18.5157,0.0438,93.900,0.119,-38.693,0.064,0,4.08678e+06,7.46724e+03,9.159913,1.81610e+06,1.23511e+04,9.703537,3.30552e+06,1.47565e+04,8.463820,1.239718,,,0,4891.00,0.6740,0.3517,1.02,0.533
0.000278,63.6346433,23.5749439,149005270337201792,Hyades,63.63521,23.57474,7.883,21.846,0.023,Simbad,63.63464,23.57494,63.6346432161142,23.5749438938167,0.002,0.001,90,149005270337201792,63.63520669481,0.0482,23.57473657707,0.0251,21.8282,0.0508,119.950,0.101,-48.151,0.076,1,1.32537e+07,4.47483e+03,7.882526,7.03824e+06,7.61645e+03,8.232728,8.71437e+06,7.99223e+03,7.411330,0.821398,37.47,0.15,19,5750.00,0.0900,0.0495,1.06,1.100
0.000150,55.2288953,19.4964886,57083830512424448,Hyades,55.22964,19.49635,17.086,24.71,0.044,Simbad,55.2289,19.49649,55.2288952559995,19.4964886025459,0.005,0.003,90,57083830512424448,55.22964146602,0.1255,19.49635227066,0.0953,24.5287,0.1556,163.376,0.308,-31.665,0.222,0,2.76018e+03,4.54335e+00,17.086023,1.98645e+02,6.54182e+00,19.606195,4.62179e+03,1.66002e+01,15.599894,4.006302,,,0,,,,,
